,instance,arrival_pfizer,arrival_moderna,arrival_astrazeneca,first_doses_Pfizer,second_doses_Pfizer,stock_values_Pfizer,first_doses_Moderna,second_doses_Moderna,stock_values_Moderna,first_doses_Astrazeneca,second_doses_Astrazeneca,stock_values_Astrazeneca,capacity
0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37575488
1,2,9995762,0,0,9995762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37575488
2,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37575488
3,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37575488
4,5,0,9999140,0,0.0,0.0,0.0,9999140.0,0.0,0.0,0.0,0.0,0.0,37575488
5,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37575488
6,7,10002369,0,0,10002369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37575488
7,8,0,0,9999890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999890.0,37575488
8,9,10000874,0,0,10000874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999890.0,37575488
9,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999890.0,37575488
10,11,0,10002272,0,0.0,0.0,0.0,9999504.0,0.0,2768.0,0.0,0.0,9999890.0,37575488
11,12,10000651,9999594,0,10000351.0,0.0,300.0,0.0,0.0,10002362.0,0.0,0.0,9999890.0,37575488
12,13,0,0,0,0.0,0.0,300.0,0.0,0.0,10002362.0,0.0,0.0,9999890.0,37575488
13,14,0,0,0,0.0,0.0,300.0,0.0,0.0,10002362.0,0.0,0.0,9999890.0,37575488
14,15,0,0,0,0.0,0.0,300.0,0.0,0.0,10002362.0,0.0,0.0,9999890.0,37575488
15,16,9997680,0,0,0.0,0.0,9997980.0,0.0,0.0,10002362.0,0.0,0.0,9999890.0,37575488
16,17,9998171,0,0,0.0,0.0,19996151.0,0.0,0.0,10002362.0,0.0,0.0,9999890.0,37575488
17,18,0,10000859,9997105,0.0,0.0,19996151.0,0.0,0.0,20003221.0,0.0,0.0,19996995.0,37575488
18,19,0,0,0,0.0,0.0,19996151.0,9999541.0,0.0,10003680.0,0.0,0.0,19996995.0,37575488
19,20,0,0,0,0.0,0.0,19996151.0,0.0,0.0,10003680.0,0.0,0.0,19996995.0,37575488
20,21,0,0,0,0.0,0.0,19996151.0,0.0,0.0,10003680.0,0.0,0.0,19996995.0,37575488
21,22,0,0,0,0.0,0.0,19996151.0,0.0,0.0,10003680.0,0.0,0.0,19996995.0,37575488
22,23,0,0,0,0.0,9995762.0,10000389.0,0.0,0.0,10003680.0,0.0,0.0,19996995.0,37575488
23,24,0,0,0,0.0,0.0,10000389.0,0.0,0.0,10003680.0,0.0,0.0,19996995.0,37575488
24,25,0,0,0,0.0,0.0,10000389.0,0.0,0.0,10003680.0,0.0,0.0,19996995.0,37575488
25,26,0,0,0,0.0,0.0,10000389.0,0.0,0.0,10003680.0,0.0,0.0,19996995.0,37575488
26,27,10005762,0,0,0.0,0.0,20006151.0,0.0,0.0,10003680.0,0.0,0.0,19996995.0,37575488
27,28,0,0,0,0.0,10002369.0,10003782.0,0.0,0.0,10003680.0,0.0,0.0,19996995.0,37575488
28,29,0,0,0,0.0,0.0,10003782.0,0.0,0.0,10003680.0,0.0,0.0,19996995.0,37575488
29,30,0,0,0,0.0,10000874.0,2908.0,0.0,0.0,10003680.0,0.0,0.0,19996995.0,37575488
30,31,0,0,0,0.0,0.0,2908.0,0.0,0.0,10003680.0,9997408.0,0.0,9999587.0,37575488
31,32,9997443,0,0,0.0,0.0,10000351.0,0.0,0.0,10003680.0,0.0,0.0,9999587.0,37575488
32,33,0,0,0,0.0,10000351.0,0.0,0.0,9999140.0,4540.0,9999587.0,0.0,0.0,37575488
33,34,0,0,0,0.0,0.0,0.0,0.0,0.0,4540.0,0.0,0.0,0.0,37575488
34,35,0,0,10003601,0.0,0.0,0.0,0.0,0.0,4540.0,2183.0,0.0,10001418.0,37575488
35,36,0,0,0,0.0,0.0,0.0,0.0,0.0,4540.0,9993867.0,0.0,7551.0,37575488
